nombre_original,nombre_encontrado,direccion
FELIPE ESCALANTE RUZ BRISAS Calle 24, Copó, 97115 Mérida, Yucatán·
BACHILLERATO COMUNITARIO SAMAHIL,TBCEY Samahil (Telebachillerato Comunitario de Samahil),"97810 Samahil, Yuc., Mexico"
COBAY BUCTOZTZ,Colegio de Bachilleres de Buctzotz,"Calle 4, 21 Y 25, C. 4 SN, Centro, 97620 Buctzotz, Yucatán, Mexico"
COBAY TIXKOKOB,COBAY Plantel Tixkokob,"97470 Tixkokob, Yucatan, Mexico"
CBTIS 111 CANCUN,Cbtis-111 Leona Vicario,"Av. Chichen-Itza Supermanzana 1, 77500 Cancún, Q.R., Mexico"
CBETIS 120,Cetis 120,C. 13 101 por 60, 97205 Mérida, Yucatán 
CBTIS 126 CAMPECHE,CBTIS 126,"24902, Calle 22-A 4100, Fátima, 24902 Calkiní, Camp., Mexico"
CBTIS 80,CETis 80,Calle 27 369, Edesio Carrillo Puerto, 97430 Motul de Carrillo, 97430
COLEGIO AMERICANO,Colegio Americano,"C. 72 499, Barrio de Santiago, Centro, 97000 Mérida, Yuc., Mexico"
COBACH COZUMEL,Colegio de Bachilleres,"50 Avenida Sur, C. 27 Sur, San Miguel I, 77666 Cozumel, Q.R., Mexico"
COBAY CHENKU,COBAY Chenkú,"Calle 32, Por Calle 25 y 27 SN, Residencial del Nte, 97219 Mérida, Yuc., Mexico"
COBAY HOMUN,Cobay Plantel Homún,"97580 Homún, Yucatan, Mexico"
COBAY SOTUTA,Cobay Sotuta,"Calle 20 x 11 carretera a Tibolón, 40 X 11, 97690 Sotuta, Yucatán, Mexico"
COBAY TZUCACAB,COBAY Plantel Tzucacab,"C. 30, 97960 Tzucacab, Yuc., Mexico"
CBTA 13 XMATKUIL,CBTA No. 13 Xmatkuil,"Ex-Hacienda Xmatkuil A.P. 970 Xmatkuil, 97139 Mérida, Yuc., Mexico"
COBAY YAXCABA,Cobay Yaxcabá,"C. 22, 97920 Yaxcabá, Yuc., Mexico"
COBAY ABALA,COBAY plantel Abala,"Unnamed Road, 97825 Abalá, Yuc., Mexico"
PREPARATORIA ABIERTA CALAFIA,Preparatoria Instituto Educativo Calafia,"CALLE DEL BARRO, Av. Poblado Islas Agrarias # 1201, 21600 Mexicali, B.C., Mexico"
VICTOR J. MANZANILLA J. - CANSAHCAB,Preparatoria Estatal N°4 Victor Jesús Manzanilla Jimenez,"Calle 20 S/N, Cansahcab Centro, 97410 Cansahcab, Yuc., Mexico"
CBTIS 28 COZUMEL,Cbtis 28,"Antonio González Fernández. 600, 10 de Abril, 77622 Cozumel, Q.R., Mexico"
COLEGIO BENITO JUAREZ GARCIA,Benito Juárez García,"C. 107, Santa Rosa, 97279 Mérida, Yuc., Mexico"
CENTRO DE BACHILLERATO TECNOLOGICO AGROPECUARIO,97315, 97315 Mérida, Yucatán
CBTA 165,Centro de Bachillerato Tecnologico Agripecuario No. 165 (CBTA),"C. 30 102, Guadalupe, 97540 Izamal, Yuc., Mexico"
CBTA IZAMAL 185,Centro de Bachillerato Tecnologico Agripecuario No. 165 (CBTA),"C. 30 102, Guadalupe, 97540 Izamal, Yuc., Mexico"
CBTIS 95,CBTis 95,"Calle 18 No. 300-X 49, Salvador Alvarado Sur, 97190 Mérida, Yuc., Mexico"
CBTIS 120 MÉRIDA,CBTis 120,"C. 13 101 por 60, Loma Bonita, 97205 Mérida, Yuc., Mexico"
CARLOS CASTILLO PERAZA,Carlos Castillo Peraza,"Carlos Castillo Peraza,Calle 51 Mérida, Yucatán ·
UNIVERSIDAD AUTONOMA DEL CARMEN,UNIVERSIDAD AUTÓNOMA DEL CARMEN,"C. 56 4, Benito Juárez, 24180 Cdad. del Carmen, Camp., Mexico"
CENTRO EDUCATIVO SIGLO XXI,Centro Educativo Siglo XXI,"C. 21 216, entre 60 Y 62, Zona Dorada II, 97226 Mérida, Yuc., Mexico"
CECYTE,Cecytey 06 Emiliano Zapata,"Cl. 143 314, Emiliano Zapata Sur L, 97297 Mérida, Yuc., Mexico"
CECYTE QUINTANA ROO,Colegio de Estudios Científicos y Tecnológicos del Estado de Quintano Roo,"C. 4 Pte. s/n, Maya Pax, Mayapax, 77780 Tulum, Q.R., Mexico"
CEC Y TES,CECyTEY,"Jardines del Nte., 97139 Mérida, Yuc., Mexico"
CEDART ERMILO ABREU GÓMEZ,CEDART Ermilo Abreu Gómez,"Calle 21, Periférico Poniente, Colonia San Juan Bautista, 97200 Mérida, Yuc., Mexico"
CEEAC,Escuela Preparatoria CEEAC (Centro de Estudios Educare AC),"C. 60 316-por 27 y 29, Señorial, 97059 Mérida, Yuc., Mexico"
CEIC PLAYA DEL CARMEN,Preparatoria CEIC,"Calle 22 Nte, Entre 50 y, Calle 55 Pte. &, Ejidal, 77712 Playa del Carmen, Q.R., Mexico"
CELA,Studies Center of the Americas CELA,"Calle 21 No. 357A-x 26, San Pedro Cholul, 97138 Mérida, Yuc., Mexico"
CENTRO EDUCATIVO MARIA GONZALEZ PALMA,Escuela María González Palma,"C. 50 454, Centro, 97000 Mérida, Yuc., Mexico"
COREM MERIDA,Colegio Regional de México COREM Mérida Brisas,"C. 26 Diag. 112, Las Brisas, 97144 Mérida, Yuc., Mexico"
CENTENNIAL COLLEGIATE VOCATIONAL INSTITUTE,Centennial Collegiate Vocational Institute,"289 College Ave W, Guelph, ON N1G 1S9, Canada"
CENTRO ESCOLAR ROCHAVI,Centro Escolar Rochavi,"C. 76 11-A'-1, Residencial Pensiones VI, 97217 Mérida, Yuc., Mexico"
CESMAC,Preparatoria CESMAC,"C. 65 627, Parque Santiago, Centro, 97000 Centro, Yuc., Mexico"
CETESC,Cetec Yucatan Sc,"C. 61 496a-por 56 y 58, Centro, 97000 Mérida, Yuc., Mexico"
CETIS 112,CETIS 112,"C. 55 No. 728, Pacabtún, 97160 Mérida, Yuc., Mexico"
CETIS 134,CETIS 134,"Av. Lomas Verdes 2, Rancho Viejo, 91303 Banderilla, Ver., Mexico"
CETIS 68,Cetis 68,"Av. Aquiles Serdán 964, Tabachines, 81257 Los Mochis, Sin., Mexico"
CENTRO DE ESTUDIOS TECNOLÓGICOS DEL MAR No 17,Centro de Estudios Tecnológicos del Mar 17,"Progreso, Boulevard Turístico Yucalpetén, 97320 Progreso, Yucatan, Mexico"
COLEGIO DE ESTUDIOS UNIVERSITARIOS DEL MAYAB,College of the Mayab University Studies,"C. 59 627, Barrio de Santiago, Centro, 97000 Mérida, Yuc., Mexico"
COBAY CHOLUL,Cobay Cholul,"97305 Merida, Yucatan, Mexico"
CEMA,"Miguel Alemán school ""CEMA""","Fracc, C. 27 150, San Miguel, 97140 Mérida, Yuc., Mexico"
UNIVERSIDAD CNCI,Universidad CNCI,Calle 56 No. 508 Altos Centro, Mérida
COBAY CELESTUN,Nacobay,"C. 6 6480, Benito Juárez, 97367 Celestún, Yuc., Mexico"
COLEGIO DE BACHILLERES DEL ESTADO DE CAMPECHE,Colegio de Bachilleres,"Castillo Oliver 14, 24014 Campeche, Campeche No. 14, entre Lorenzo Alfaro Alomía, área, Cam, Av. Miguel Alemán y, Área Ah, 24014 San Francisco de Campeche, Camp., Mexico"
COLEGIO DE BACHILLERES CHIAPAS,Colegio de Bachilleres de Chiapas,"Blvrd Presa Chicoasén 950, Amp las Palmas, 29044 Tuxtla Gutiérrez, Chis., Mexico"
COBACH CHIAPAS,Colegio de Bachilleres de Chiapas,"Blvrd Presa Chicoasén 950, Amp las Palmas, 29044 Tuxtla Gutiérrez, Chis., Mexico"
COLEGIO DE BACHILLERES QUINTANA ROO,Colegio de Bachilleres ,Calle 12 Entre Avenida 30, 77710 Playa del Carmen
COLEGIO BACHILLERES TABASCO,Colegio de Bachilleres de Tabasco,"Av. Paseo La Choca 100, Multiochenta, 86085 Villahermosa, Tab., Mexico"
COLEGIO BACHILLERES DE TABASCO 46,College of Bachelors of Tabasco Campus 46,"Villa las Flores, 86780 Jonuta, Tab., Mexico"
COBATAB,Dirección General del COBATAB,"2000,, Av. Paseo La Choca 100, Parque Tabasco, 86035 Villahermosa, Tab., Mexico"
COLEGIO DE BACHILLERES No. 8 TABASCO,COBATAB PLANTEL 8,"Av. Monte Cristo SN, Las Lomas, 86980 Emiliano Zapata, Tab., Mexico"
COBAY PROGRESO,COBAY Plantel Progreso,"C. 37 entre 72 y 74, Centro, 97320 Progreso, Yuc., Mexico"
COBAY 5,COBAY plantel Santa Rosa,"Carretera Federal Peto, Santa Rosa km 5, 97930 Peto, Yucatán"